country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-450,450,cotedivoire,6.28094,-6.36049,32,0
cotedivoire-451,451,cotedivoire,8.03038,-6.64112,30,1
cotedivoire-453,453,cotedivoire,7.96677,-6.68517,30,1
cotedivoire-454,454,cotedivoire,6.4989,-6.58339,34,1
cotedivoire-455,455,cotedivoire,7.88246,-7.01168,30,1
cotedivoire-457,457,cotedivoire,8.04402,-6.40905,30,0
cotedivoire-458,458,cotedivoire,6.48343,-6.58804,31,12
cotedivoire-459,459,cotedivoire,9.27555,-2.99544,33,0
cotedivoire-46,46,cotedivoire,9.52466,-7.1942,30,0
cotedivoire-460,460,cotedivoire,9.27577,-2.99499,33,0
cotedivoire-461,461,cotedivoire,9.27065,-2.98961,30,0
cotedivoire-462,462,cotedivoire,10.25971,-6.21211,31,1
cotedivoire-464,464,cotedivoire,8.98963,-2.76124,30,0
cotedivoire-465,465,cotedivoire,10.4135,-6.22142,30,1
cotedivoire-466,466,cotedivoire,9.85272,-3.39256,30,0
cotedivoire-468,468,cotedivoire,10.29361,-6.24311,32,3
cotedivoire-469,469,cotedivoire,10.37137,-6.15289,30,0
cotedivoire-470,470,cotedivoire,9.26938,-2.99492,32,0
cotedivoire-471,471,cotedivoire,10.24109,-6.18163,32,0
cotedivoire-472,472,cotedivoire,10.26849,-6.1316,32,0
cotedivoire-473,473,cotedivoire,10.28607,-6.24076,31,1
cotedivoire-476,476,cotedivoire,6.33543,-6.33546,32,1
cotedivoire-477,477,cotedivoire,8.12235,-6.94861,35,0
cotedivoire-478,478,cotedivoire,6.49853,-6.58481,33,1
cotedivoire-479,479,cotedivoire,6.59275,-6.38148,33,1
cotedivoire-48,48,cotedivoire,6.20023,-3.2949,31,1
cotedivoire-480,480,cotedivoire,6.48601,-6.28292,32,0
cotedivoire-481,481,cotedivoire,6.49203,-6.28741,32,0
cotedivoire-482,482,cotedivoire,8.26843,-6.907,33,0
cotedivoire-483,483,cotedivoire,5.27144,-3.97223,30,0
cotedivoire-485,485,cotedivoire,5.30748,-3.96316,33,0
cotedivoire-486,486,cotedivoire,5.30177,-3.98386,30,0
cotedivoire-487,487,cotedivoire,5.30748,-3.97761,30,0
cotedivoire-49,49,cotedivoire,6.38192,-3.34957,32,0
cotedivoire-491,491,cotedivoire,5.66993,-4.57594,30,5
cotedivoire-492,492,cotedivoire,5.68248,-4.52568,30,3
cotedivoire-493,493,cotedivoire,5.49887,-4.04764,31,0
cotedivoire-495,495,cotedivoire,5.72793,-4.43515,32,1
cotedivoire-496,496,cotedivoire,5.27874,-3.97678,30,0
cotedivoire-497,497,cotedivoire,5.30545,-3.94427,30,0
cotedivoire-498,498,cotedivoire,5.31278,-3.96297,34,0
cotedivoire-499,499,cotedivoire,5.66455,-4.56561,32,4
